date,adjOpen,adjHigh,adjLow,adjClose,adjVolume
2020-01-02T00:00:00.000Z,24.086874333,24.3459724818,23.8509099474,24.1932896441,4278209
2020-01-03T00:00:00.000Z,23.7815086576,24.0498603117,23.3280868972,23.397488187,4447153
2020-01-06T00:00:00.000Z,23.1754040595,23.7306143784,23.1754040595,23.6334525726,4983440
2020-01-07T00:00:00.000Z,23.6149455619,23.7398678837,22.9348129213,23.0412282324,6167858
2020-01-08T00:00:00.000Z,22.9024256527,23.1522702962,22.7404893097,23.1337632856,6934293
2020-01-09T00:00:00.000Z,23.2262983387,23.2540588547,22.6803415252,22.9579466846,7158511
2020-01-10T00:00:00.000Z,22.9579466846,23.1060027696,22.8607848788,22.9070524054,4865579
2020-01-13T00:00:00.000Z,22.9903339532,23.1291365329,22.5230319349,23.0551084904,6736327
2020-01-14T00:00:00.000Z,23.0551084904,23.8416564421,23.0458549851,23.5316640141,6555424
2020-01-15T00:00:00.000Z,23.4622627242,23.6612130885,23.3188333919,23.411368445,3904985
2020-01-16T00:00:00.000Z,23.601065304,23.9341914953,23.4530092189,23.7537481416,4446293
2020-01-17T00:00:00.000Z,23.8277761842,23.8277761842,23.1568970489,23.2910728759,6500147
2020-01-21T00:00:00.000Z,23.2031645754,23.2124180808,22.6248204933,22.8052638469,5394328
2020-01-22T00:00:00.000Z,22.9024256527,23.1892843175,22.9024256527,23.1060027696,2705178
2020-01-23T00:00:00.000Z,23.1430167909,23.3512206605,22.8422778682,23.3049531339,2187778
2020-01-24T00:00:00.000Z,23.3882346817,23.6149455619,22.9163059107,23.1245097803,3947093
2020-01-27T00:00:00.000Z,22.5137784295,22.6201937407,22.1945324962,22.277814044,6141368
2020-01-28T00:00:00.000Z,22.4443771397,22.763623073,22.3703490972,22.5230319349,4224526
2020-01-29T00:00:00.000Z,22.6479542566,22.763623073,22.4582573977,22.6479542566,2788513
2020-01-30T00:00:00.000Z,22.3934828605,22.8885453948,22.2824407967,22.8469046208,4741740
2020-01-31T00:00:00.000Z,22.7312358044,22.7867568363,22.277814044,22.5646727088,4626927
2020-02-03T00:00:00.000Z,22.5739262141,22.8561581262,22.4906446663,22.7543695677,3265119
2020-02-04T00:00:00.000Z,23.1337632856,23.8185226788,22.8746651368,23.6103188093,5845643
2020-02-05T00:00:00.000Z,23.8185226788,24.2395571706,23.411368445,23.4992767455,7337632
2020-02-06T00:00:00.000Z,23.6704665938,24.4894018141,23.6241990672,24.4523877929,6578550
2020-02-07T00:00:00.000Z,24.2904514499,24.2904514499,23.5964385513,23.883297216,9318088
2020-02-10T00:00:00.000Z,23.5964385513,24.1377686122,23.3928614344,24.1100080962,5325464
2020-02-11T00:00:00.000Z,24.1053813436,24.5680566093,24.059113817,24.1794093861,8684311
2020-02-12T00:00:00.000Z,24.396866761,24.7623802209,24.3274654711,24.6605916624,6874180
2020-02-13T00:00:00.000Z,24.0359800537,24.4431342876,23.7953889156,24.3135852132,6760557
2020-02-14T00:00:00.000Z,24.4986553194,24.7762604789,24.3505992344,24.4662680508,4158269
2020-02-18T00:00:00.000Z,24.1979163967,24.4986553194,24.0035927851,24.4153737716,5139915
2020-02-19T00:00:00.000Z,24.4755215562,24.7947674895,24.4061202663,24.6790986731,5512765
2020-02-20T00:00:00.000Z,24.6790986731,24.706859189,24.1932896441,24.4986553194,5304562
2020-02-21T00:00:00.000Z,24.382986503,24.4338807822,23.6936003571,23.9295647426,4403209
2020-02-24T00:00:00.000Z,23.0273479745,23.073615501,21.9400611001,22.3518420865,7263037
2020-02-25T00:00:00.000Z,22.6942217832,22.763623073,21.3617170179,21.3848507812,6799520
2020-02-26T00:00:00.000Z,21.6161884141,21.9030470788,20.9591895367,21.2506749541,6851323
2020-02-27T00:00:00.000Z,20.6029295821,21.0702316005,19.848768899,20.1541345744,11045645
2020-02-28T00:00:00.000Z,19.0622209473,19.9459307048,18.1368704159,18.7198412507,16946976
2020-03-02T00:00:00.000Z,18.8401368198,19.6590720401,18.229405469,19.6128045135,7908385
2020-03-03T00:00:00.000Z,19.7423535879,20.2235358643,19.1593827531,19.3305726014,9215454
2020-03-04T00:00:00.000Z,19.6590720401,20.0708530266,19.0575941947,20.0708530266,6008463
2020-03-05T00:00:00.000Z,19.4462414179,19.6914593087,18.7337215087,18.9002846043,7139045
2020-03-06T00:00:00.000Z,18.0443353628,18.9141648623,17.8685187618,18.3311940275,8400807
2020-03-09T00:00:00.000Z,16.8783936932,17.0264497782,16.4064649221,16.7719783821,10953592
2020-03-10T00:00:00.000Z,17.4428575173,18.2201519637,16.4249719328,18.1091099,9943910
2020-03-11T00:00:00.000Z,17.4150970014,17.8361314932,16.9200344671,17.0912243154,9386827
2020-03-12T00:00:00.000Z,15.7217055289,16.1566202787,14.9490378351,15.1479881994,13326279
2020-03-13T00:00:00.000Z,16.2769158477,16.6331758023,15.3330583057,16.6331758023,9641674
2020-03-16T00:00:00.000Z,13.5008642535,15.8743883666,13.5008642535,14.9027703086,10098857
2020-03-17T00:00:00.000Z,15.180375468,15.4811143907,13.9913000351,14.4909893221,9975249
2020-03-18T00:00:00.000Z,13.4175827056,13.9496592612,11.8028460283,13.3574349211,9067617
2020-03-19T00:00:00.000Z,13.4175827056,15.1341079414,13.0381889878,14.7871014921,8396328
2020-03-20T00:00:00.000Z,15.194255726,17.0680905521,14.8148620081,15.032319383,13515890
2020-03-23T00:00:00.000Z,15.2682837685,16.5313872439,14.5881511279,15.7031985183,7340416
2020-03-24T00:00:00.000Z,16.8691401879,17.9795608256,15.976176925,17.9749340729,7082860
