Date,Open,High,Low,Close,Volume,MACD,Signal,RSI,CCI,ADX
2016-02-01,24.278449289113883,24.594576143888823,24.215224219639804,24.357481002807617,19015100,-0.6655616983602535,-0.7274425909120971,42.249989818436326,-16.749218761331438,34.87975026548346
2016-02-02,24.065064538825727,24.096676318437936,23.417005721623735,23.551359176635746,24994300,-0.6668507782012085,-0.7153242283699194,32.85710673811887,-56.31728846120189,31.533067259881097
2016-02-03,23.69487259567214,23.69487259567214,22.738149155056167,23.39191055297852,44660100,-0.6729808502976766,-0.706855552755471,35.24110020544805,-81.05346602088933,28.632608655025717
2016-02-04,23.2324599853949,23.8224399247154,23.208542845579416,23.7347412109375,29257800,-0.6427660013019079,-0.6940376424647583,31.79039213433326,-52.18983899785707,28.34578695607685
2016-02-05,23.583252240404928,23.726761118405577,23.049081150442635,23.152727127075195,27957500,-0.6581969040628799,-0.6868694947843826,45.52769756817711,-71.54218101226736,28.097208150321165
2016-02-08,22.913545790445838,23.10489045951361,22.56274647015212,22.97732734680176,28725900,-0.6767778285377339,-0.684851161535053,43.24205010472914,-105.36612061892998,27.881773185332904
2016-02-09,22.714224629907683,23.240422766455968,22.65044308367977,22.969350814819336,22902600,-0.6842592695973906,-0.6847327831475205,44.91272079844503,-97.37639086817968,25.544017581944946
2016-02-10,23.025166247221986,23.120839355028327,22.475050819520995,22.506940841674805,27267800,-0.7192103763240638,-0.6916283017828292,39.615890898863455,-136.17363118088653,23.517962725675382
2016-02-11,22.188031301879118,22.650447992412964,22.06844106686856,22.498966217041016,28450200,-0.7390337447978155,-0.7011093903858265,36.5393317763199,-183.50485455074974,21.76204851690843
2016-02-12,22.778007861325985,22.881653832034413,22.435181454735545,22.833816528320312,19699000,-0.7194311312230823,-0.7047737385532777,43.59099626861916,-125.53684932259438,24.38206322407307
2016-02-16,22.921521635383744,23.08097630720322,22.610586698075466,22.9454402923584,30705200,-0.6869698530150785,-0.7012129614456379,41.48513738445525,-84.96341332881597,23.287076832115826
2016-02-17,23.009216410976624,23.61514189153471,22.905570442623848,23.49555015563965,27691700,-0.6098251034676778,-0.6829353898500459,49.31564548530886,-4.349088092170613,23.535041979310726
2016-02-18,23.543392510891515,23.72676431496479,23.42380074933098,23.45569229125977,20623300,-0.5456140312831543,-0.6554711181366676,47.48250787714374,27.91827893147642,21.795687897027484
2016-02-19,23.280291205564687,23.383935665840408,22.88962745666504,22.88962745666504,42056700,-0.5342445566186953,-0.6312258058330732,31.114788673109018,-49.62178869628683,20.288247692382008
2016-02-22,23.208542367019223,23.55136889025037,23.12084213437703,23.399887084960938,23893100,-0.4785441197198743,-0.6006894686104334,39.71864109250611,2.9045572895226393,20.70846246574776
2016-02-23,23.36002284682155,23.399887280479565,22.80193446166325,22.961387634277344,26638200,-0.4644306951987538,-0.5734377139280975,43.122784690233445,-44.372332572889945,21.072648602664746
2016-02-24,22.73814305698355,23.36001274643851,22.62652421167543,23.272314071655277,21593600,-0.42327726280364075,-0.5434056237032061,48.65343473680097,-34.87919855007009,21.3882765879928
2016-02-25,23.37595897369047,23.615140914916992,23.08096988971806,23.615140914916992,17571400,-0.3588628623158918,-0.5064970714257433,48.65339062946284,27.47984930381537,24.765270834888938
2016-02-26,23.82243137712713,23.98188601515651,23.678924027707243,23.758649826049805,19902200,-0.2928581298511794,-0.46376928311083054,57.56970231877206,89.78659683343922,29.935650440530132
2016-02-29,23.694871040102434,24.02972460250297,23.58325369285969,23.59122657775879,22903100,-0.2511633065034502,-0.4212480877893545,57.684667433875894,87.8770955130031,33.79896078870789
2016-03-01,23.86229730521826,24.34065972886979,23.71878842605557,24.213096618652344,25502600,-0.16602629570100547,-0.3702037293716848,63.49490299570328,162.56185139269306,33.434660675253845
2016-03-02,24.15728851729605,24.611733847517996,24.013781146390144,24.348634719848636,23779800,-0.08661931568114412,-0.3134868466335766,71.50841199437599,185.95017158541182,34.59813300917353
2016-03-03,24.819023643486773,24.994424081823706,24.34863556790135,24.380525588989254,25625200,-0.02087475413092932,-0.25496442813304715,71.85191682936888,187.84724396222725,31.92668419107144
2016-03-04,24.316744703153216,24.60376250429742,23.95797245172296,24.42038917541504,20356800,0.034052407871214996,-0.19716106093219474,69.78140176634564,131.69959270915734,29.611428548716297
2016-03-07,24.38849661744014,24.81105038955581,24.31674217461536,24.66754150390625,18858200,0.09641430279104668,-0.13844598818754644,70.76926686691918,141.3707109999885,29.826791696701427
2016-03-08,24.57983772965449,24.619700627370868,24.22106556751876,24.364574432373047,19104900,0.12000628538038782,-0.08675553347395959,61.14519707536393,102.82551304174171,30.01343975828854
2016-03-09,24.57983713427461,24.7472646461065,24.45227403986557,24.61172866821289,14707800,0.1568384468449544,-0.038036737410176796,64.07759007533795,110.45427848438509,31.489764723636704
2016-03-10,24.82699552412704,25.03428597516241,24.22106994125573,24.914695739746094,29584800,0.20807653407659288,0.011185916887177141,76.34853597874485,110.46891798185838,29.564509388856543
2016-03-11,25.249551776248563,25.345224886324903,25.137934415053245,25.32130622863769,22811200,0.2782852564166518,0.06460578479307208,75.6929265559317,150.48357377794468,32.162019350826384
2016-03-14,25.24157836801739,25.26549702520964,24.954560564400257,25.05820655822754,17438600,0.3091327403094297,0.11351117589634362,79.41831147304974,118.25104419041264,34.41319465120024
2016-03-15,24.986451066484413,25.233604431152344,24.76321483733997,25.233604431152344,16927700,0.343769969799947,0.1595629346770643,78.60466306628297,106.6803002790293,36.36421324485759
2016-03-16,25.10604063790913,25.353193995998957,24.85091439463288,25.26549530029297,26298400,0.3695337947760997,0.2015571066968714,76.47060263182215,104.39407497231409,36.629379502327325
2016-03-17,25.32130707535725,25.64818628397799,25.27347127905575,25.496706008911133,22865300,0.40395207549018863,0.24203610045553486,77.11445509955598,124.64112364989947,38.71929506041695
2016-03-18,25.64020774899577,26.062759952738386,25.56048195101031,26.05478858947754,49934200,0.4708339306191718,0.28779566648826227,84.2571001177607,154.59830758150304,36.38915518938546
2016-03-21,25.696021703191946,25.84750196707134,25.47278698982339,25.783721923828125,21760900,0.4962450639519673,0.3294855459810033,74.2015026527429,122.40119099411858,34.36970063449151
2016-03-22,25.640207666041327,25.879388100568143,25.47278166600698,25.767770767211918,22200400,0.5092264002068276,0.3654337168261682,72.70395957426042,113.087453369574,32.288821973979516
2016-03-23,25.887367549425107,25.887367549425107,25.49670376521135,25.51264953613281,18765300,0.4932422617425658,0.39099542580944774,66.9047623116239,95.04737294228916,30.673859407245686
2016-03-24,25.4089960300144,25.47277757034452,25.2734600667289,25.416967391967773,14211900,0.4674653182631836,0.40628940430019495,64.63681786042845,60.592254403066086,29.27422518274303
2016-03-28,25.409001416310065,25.5126458710655,25.209683870442365,25.432918548583984,11433000,0.44321492411893715,0.41367450826394336,62.06019790267884,54.3956602654517,27.465585370837122
2016-03-29,25.4568405548781,25.863447063817645,25.297385888910608,25.81561279296875,15313200,0.4496927610324164,0.420878158817638,72.30390173596824,84.27749918552927,25.936030036549553
2016-03-30,25.8714216180267,26.11060209767538,25.743858492791087,26.078710556030277,16598000,0.4706311412968027,0.430828755313471,72.43898809957966,119.9668197201837,24.782800369080306
2016-03-31,25.93519587577083,26.03884184232936,25.767769881491446,25.79168701171875,17880000,0.45877607225633454,0.43641821870204367,63.4802274595619,95.54314536561343,23.975465154351117
2016-04-01,25.72790912328268,25.88736376785972,25.59237161092167,25.871417999267575,18049700,0.45062000210309705,0.4392585753822544,59.400404284819366,76.81576942706432,23.275774634919152
2016-04-04,25.672104204002608,25.81561310095094,25.305359076171044,25.51264953613281,21581600,0.41047494150957675,0.4335018486077189,57.51973362369606,34.27697126671112,22.66937618474478
2016-04-05,25.424945664268613,25.60831744150557,25.28940967225169,25.432918548583984,20080000,0.36798417489811186,0.4203983138657975,53.405911602353996,10.723760679210097,22.143830861260327
2016-04-06,25.488729538959426,25.696019988017028,25.3292764001498,25.576431274414062,15740600,0.3419484449992396,0.40470834009248596,55.1180780991969,20.550105138965538,20.07780241768061
2016-04-07,25.424947352990564,25.432920237835496,24.994422216070447,25.15387535095215,23738200,0.2839450679077338,0.38055568565553555,44.691330312893186,-73.5489582915051,18.287244433244854
2016-04-08,25.321303072285797,25.528593517718274,25.09806685704951,25.2176570892334,17031900,0.24035298728118093,0.3525151459806647,34.694096755789346,-65.02738981734463,18.452899716222813
2016-04-11,25.43291974423162,25.783719067238696,25.24157507368383,25.249547958374023,19707700,0.20600458333391813,0.32321303345131536,39.29722545146318,-26.07649223275244,17.87589682061686
2016-04-12,25.41697192686676,25.4648092311534,25.01833684851101,25.40102767944336,16774200,0.18882966245388388,0.2963363592518291,43.03040496211063,-72.09207370095756,17.375827644425033
2016-04-13,25.488735911006295,25.65616349738558,25.472791657609992,25.616300582885746,19968100,0.1903943901022096,0.2751479654219052,52.00007949821916,12.630919779439783,19.26822600143312
2016-04-14,25.337249033828904,25.42494772706885,25.15387572104214,25.35319328308105,21620900,0.1684619631744333,0.25381076497241084,48.8440849063126,-89.13883383064261,20.908304577506797
2016-04-15,25.3452176784072,25.42494347334638,25.018335532333897,25.08211708068848,28782800,0.12773433090995923,0.2285954781599205,44.179932521507176,-123.8747772820638,22.329706010103983
2016-04-18,25.05820551439968,25.28941310827036,25.018341087406533,25.233604431152344,21566600,0.10645401642739216,0.20416718581341486,39.54169065833128,-110.08253480080857,23.561655849628288
2016-04-19,25.273470089272795,25.361168791584923,25.03428807768,25.193742752075195,33619300,0.08538840513800494,0.1804114296783329,32.71061260992687,-94.62409892453978,22.86168166464553
2016-04-20,24.970505490182404,25.71993847542217,24.9146968126297,25.51264953613281,57629800,0.09335077900831479,0.1629992995443293,44.61559525246657,-28.05903401407947,23.17098919021729
2016-04-21,25.464810436976368,25.56048352940785,25.36116446011957,25.48872756958008,28431400,0.0966169745491321,0.14972283454528987,42.45292103251754,6.144904510876686,22.49049711959947
2016-04-22,25.305355220958543,25.401028311239333,24.890774364195448,25.22562789916992,29625600,0.07708690362047577,0.13519564836032705,44.11765165765248,-96.1838361271643,21.900737325064025
2016-04-25,25.00239664639739,25.114013999781253,24.874833522338008,25.02631378173828,19315700,0.045007381090712784,0.1171579949064042,42.056232178709976,-136.44951825158597,21.38961216979997
2016-04-26,25.02631552048038,25.273470421105248,24.850916592880715,25.03428840637207,20976400,0.0199970998077994,0.09772581588668325,38.81594323905963,-108.98472429149828,18.637191856095836
2016-04-27,24.914692706010477,25.353190689367395,24.86685692180314,25.31332778930664,20006200,0.02243381482243123,0.08266741567383284,53.49643534988613,-63.3946756165903,17.365833830796397
2016-04-28,25.07415548607859,25.281444458482213,24.739301846597307,24.803083419799805,25146400,-0.01661598852929913,0.06281073483320646,42.397821993279045,-142.76229389291197,16.26399020887022
2016-04-29,24.60375881748605,24.611731701953385,23.99783328401828,24.141342163085938,36443700,-0.09980968412928704,0.030286651040707754,33.49178053934932,-333.24338347429955,15.309059069867528
2016-05-02,24.276878720406295,24.468223390040997,24.20512427920925,24.404441833496094,21086600,-0.14286448977599875,-0.004343577122633547,35.63230211823296,-240.8205712992066,15.714936507842195
2016-05-03,24.2449887138232,24.36457894981768,23.989862471522336,24.20512580871582,27111100,-0.19086865583750878,-0.0416485928656086,29.56116825843027,-215.2233340676975,16.066696954086904
2016-05-04,24.261411666734716,24.29357714241356,23.883458508115535,24.00408172607422,23278800,-0.242341320673777,-0.08178713842724228,30.102345950805713,-190.71476006533715,16.371556007498988
2016-05-05,24.020170628571503,24.140793873636344,23.923671112234967,24.044294357299805,23393300,-0.27669933740586217,-0.12076957822296626,33.57492676730466,-155.69993389229143,17.39520005963044
2016-05-06,23.81108411497369,24.21316252807999,23.73870987790996,24.156871795654297,19632200,-0.29148420628841265,-0.15491250383605554,32.74662523136202,-128.4488587871503,16.189563001044394
