,Open,High,Low,Close,Volume,MACD,Signal,RSI,CCI,ADX
2009-03-30,49.61990238430741,51.0977147877127,49.51203547344908,50.97905731201172,11468344,1.2274237446248009,1.02428250770819,67.86231522650709,41.88584526918777,27.591405269587494
2009-03-31,51.21636971763063,53.211952830852766,51.157045281917625,52.2573127746582,15223170,1.2450154710838177,1.0684291003833157,69.36761688832911,92.21439928887077,26.90879584781576
2009-04-01,51.84739936877246,52.8559748463947,51.61547758295908,52.6456298828125,12774693,1.2755868155858607,1.1098606434238247,67.76727186532136,87.70913555285192,25.02601053905567
2009-04-02,53.47624419293616,55.007992564362766,53.06094723441466,54.376953125,16965074,1.423113377571525,1.172511190253365,72.29322444628416,130.8596146220905,26.88112045746236
2009-04-03,53.78904425618104,55.36933013365191,53.77825799760437,55.13201522827149,11467193,1.5827119243731502,1.254551337077322,72.91653650791032,135.04174700358158,26.573347109450104
2009-04-06,54.42007870177127,54.93245610943484,53.9346669403419,54.77604675292969,9225511,1.6613205721320767,1.335905184088273,68.82875670482746,115.75952063777065,25.88546045403103
2009-04-07,54.02636996590287,54.20435619471216,53.1364474302056,53.260498046875,9171746,1.5830776435726648,1.3853396759851513,63.69867229603417,74.68585304235957,25.2892920193345
2009-04-08,53.63803929146823,54.77066554663893,53.39533120583204,54.57649993896485,7620319,1.6087156408672172,1.4300148689615646,66.06407081862051,91.54704316385987,25.913821504320808
2009-04-09,55.01877009509132,55.25608076050583,54.069518825084096,54.85157012939453,8382330,1.6324123702819264,1.4704943692256371,67.0754487127426,101.81819386523182,24.19980337567441
2009-04-13,54.08569676197807,54.82460300042573,53.41690552553605,53.90771484375,8155871,1.5570818948114749,1.4878118743428048,52.76047190654574,71.85627392348474,22.7143209975142
2009-04-14,53.43846557760152,53.90769792193776,53.00159200672213,53.54093933105469,6565428,1.4510593230476871,1.4804613640837814,52.13371042476929,43.366471970038475,21.42690293644202
2009-04-15,52.980030837252094,53.42769076182098,52.014600297276274,53.31442642211914,8539753,1.333387511146185,1.4510465934962622,51.97376482460197,12.469805090932324,20.311140616846128
2009-04-16,53.79443405493974,54.97020933795016,53.49240161679877,54.70592880249024,9685437,1.3370022357413163,1.428237721945273,55.39714280857764,81.39912005243568,23.348699894460825
2009-04-17,54.5710978803216,55.034937149848766,53.76746992900021,54.6196403503418,10684053,1.3177143829223397,1.4061330541406867,67.72914148202622,81.12950183073688,24.715110669319756
2009-04-20,54.091087329953616,54.57649919039377,53.50859481909514,54.166595458984375,13100836,1.251445795985262,1.3751956025096017,64.3796205790437,51.11808460450936,25.899333340864164
2009-04-21,53.07709607754939,55.27223711024071,52.96383607489403,55.18054962158203,15927128,1.2661497047063364,1.3533864229489487,63.50945544999547,71.52597367332629,28.54284390164657
2009-04-22,54.56570594941429,56.01654821478971,54.50637721901381,55.31000518798828,12677520,1.2735677444181448,1.337422687242788,62.61497881760014,113.9949572763988,24.828151043846564
2009-04-23,55.36395974006732,55.43407475378245,53.82681826566228,54.7005615234375,9874658,1.2162494177390855,1.3131880333420476,51.71430280465694,66.6557660269039,21.608750567086556
2009-04-24,54.56571078287055,54.78684203091576,53.66500209611154,53.97782516479492,10624745,1.0998273221559316,1.2705158911048244,43.86471071082111,30.09316547802498,18.818603487227886
2009-04-27,53.72433549074507,54.84617552283533,53.55174239894494,53.90771484375,9007524,0.9904869387848549,1.2145101006408305,45.239565138830336,20.25319346473169,16.466386325245015
2009-04-28,53.58948183508534,55.407078187425405,53.53015311286406,54.980995178222656,11621583,0.97915160027501,1.1674384005676663,59.9129453943788,66.38450136460314,16.637279558509817
2009-04-29,55.00257434076304,56.63140276962421,54.83537871589421,56.11363220214844,10233750,1.0494650252853148,1.143843725511196,59.047631022809995,200.9273280953063,16.92665492338297
2009-04-30,56.3886810673093,57.19769759033552,55.47178907481544,55.66595458984375,11144607,1.0568820014453095,1.1264513806980188,54.698042405308975,215.01815000645374,18.787134079058063
2009-05-01,55.97340685351168,56.555899328109554,55.520353803355775,56.42106246948242,6520973,1.1108853093316426,1.1233381664247435,64.82184113614939,182.93521937836013,20.518649089795957
2009-05-04,56.7716326985977,57.57526065321742,56.4210577562876,57.273223876953125,8696339,1.208514619418807,1.1403734570235562,70.81838902800021,221.58009563227486,17.83105408920287
2009-05-05,57.17073735013093,57.6129997004289,56.90645684395445,57.08983612060547,7060500,1.2566033505258218,1.1636194357240095,71.16074150823741,178.9829478746427,17.040300688078034
2009-05-06,57.05188549814487,57.19826919015208,56.22779632339745,56.72116470336914,7877321,1.2505497549979196,1.1810054995787915,62.75795715035046,120.26474700369852,16.354981073769846
2009-05-07,56.73743935102623,56.818767485694,55.20853791509046,55.620582580566406,8913384,1.1437599053436713,1.1735563807317675,55.615541372593256,56.63259611502044,15.76103740803608
2009-05-08,56.157317116872285,56.24948350819646,54.12420492323795,55.02419662475586,12107973,0.9994833952610804,1.1387417836376301,54.73520232161084,5.976652645119505,15.246286231066817
2009-05-11,54.80732313601674,56.319960324864695,54.73142064436475,55.78864288330078,8632638,0.9360375872425664,1.0982009443586174,53.45268841332455,33.35942078054637,17.20021183478674
2009-05-12,55.83202544346005,56.59105485222172,55.50130891720463,56.35250473022461,8327834,0.9206426703189408,1.062689289550682,55.640932173407606,62.57113126167767,21.04447595678405
2009-05-13,55.77780777278,55.897080660435314,54.94829289749247,55.44166564941406,8579397,0.8254299435440942,1.0152374203493646,53.883426056670245,3.92584780721918,24.376171529181722
2009-05-14,55.14890082065302,55.68564402563364,54.63384713795339,54.78565216064453,9879575,0.6890949084363882,0.9500089179667695,54.262866179494225,-30.98661009180714,27.2636410252597
2009-05-15,54.70434143490108,55.88083713214139,54.52542554822832,54.95915985107422,8752300,0.5882678458827328,0.8776607035499622,55.48853387665763,-27.56394261326794,28.16452915234103
2009-05-18,55.30072660042989,56.769989900372025,55.268194470670345,56.69950866699219,7771257,0.6413996215520186,0.8304084871503735,58.386569514824096,61.54271928366895,25.266916602935748
2009-05-19,56.56395260156217,57.53442571170151,56.385036751652976,57.203704833984375,7404843,0.7159384605794372,0.8075144818361863,55.667315063972374,118.4303046256158,25.359075223327142
2009-05-20,57.203697045028456,57.45851537414511,56.28202007884429,56.412139892578125,7408923,0.703034211379574,0.7866184277448639,53.745505959629845,81.39769432733657,25.43894602766635
2009-05-21,55.88081087008227,55.97839855453244,55.15973501538134,55.74526977539063,7752429,0.6317146425569788,0.7556376707072869,46.577515209004304,-15.699339876896975,25.508167391426998
2009-05-22,55.66394552314991,56.010930203489885,55.16515585640883,55.241058349609375,5853625,0.5284164661515192,0.7101934297961334,39.33233796255505,-39.671711780389806,25.3425313131897
2009-05-26,54.93205034918816,57.26877789945627,54.76940268585556,56.93805694580078,7542915,0.5768361137790166,0.6835219665927101,49.31250077755768,38.657722528085415,24.93731573773382
2009-05-27,56.56936705409918,57.01936078397137,55.79407378496983,55.80491638183594,7447102,0.517805124751753,0.6503785982245187,46.11856783137589,18.580467154836846,22.88643142124952
2009-05-28,56.027213180039794,57.00310765548456,55.66938578259745,56.75913619995117,6409365,0.5417749607224778,0.6286578707241106,54.88372747535842,48.12150828778222,21.108998346963123
2009-05-29,56.6398693478333,57.74046256597895,56.35794441773258,57.621185302734375,7187903,0.6231481229076294,0.6275559211608145,60.891336685063536,125.00531531335976,19.93778613968232
2009-06-01,57.97900895967535,58.91695444939173,57.83262520378317,58.75430679321289,8080350,0.7701920797243886,0.6560831528735294,62.0644277446565,214.57827901802455,20.360986570828487
2009-06-02,58.28804310022226,58.98743405993347,57.82720231814304,57.91936874389648,7369907,0.8100155966043161,0.6868696416196867,56.23651329554472,169.03642129580115,20.447063007321006
2009-06-03,57.7566972452775,57.794650655891445,56.986825377469366,57.73501205444336,8041648,0.8172788941851579,0.7129514921327809,59.688391888777694,100.5058086828497,20.521662585614525
2009-06-04,57.561520232629135,57.94103704985344,57.25248894221182,57.64826965332031,5720051,0.8067361706140588,0.7317084278290364,62.704375726285505,99.08401881732665,21.418726874428582
2009-06-05,58.19045429990522,58.77057236654898,57.87600157878697,58.14166259765625,8017590,0.8286416087248867,0.7510950640082065,63.73408094190778,128.68586096768928,18.69003401649853
2009-06-08,57.81633910027941,58.54284062730237,57.19827218683758,58.27717971801758,6656535,0.8471712623308463,0.7703103036727345,57.90311873338218,97.2073234743067,16.325166872959148
2009-06-09,58.63502945438472,59.17177277632989,58.54828432632315,58.62960815429688,8980851,0.8801483731802406,0.7922779175742357,57.25314523133335,132.24911529455886,18.38824895645519
2009-06-10,59.2043216403889,59.247696383179466,58.038668153636536,58.74348068237305,7926693,0.9050388084423346,0.8148300957478556,62.73697899841816,109.97308487094008,19.813925868271788
2009-06-11,58.9603114044779,59.98499738685332,58.857298080401335,59.31271743774414,9554478,0.9596352289941805,0.8437911223971206,69.70045641246233,137.32311576834888,22.979909139016357
2009-06-12,58.77057011681223,59.24767480713216,58.41816398077866,58.66755676269531,7584441,0.9400083795195755,0.8630345738216116,68.63204533574505,91.85950182142973,25.723761306994984
2009-06-15,58.35311569809684,59.00371077291192,58.14167197428268,58.347694396972656,8961710,0.8884027858904275,0.8681082162353748,59.01528798917955,68.02236930612882,28.101766519243128
2009-06-16,58.80850878090837,59.17176177921958,58.15791395137589,58.185020446777344,7563626,0.8248699653860285,0.8594605660655056,67.37918163839447,62.47471430110834,29.00495702364388
2009-06-17,58.2609284054982,58.48864029477303,57.94647572283211,58.01153564453125,7705045,0.7518540680551311,0.8379392664634308,60.321683114466,34.54245577227896,29.787722127457858
2009-06-18,57.97356483762182,58.29886434857774,57.53441374282215,57.64826965332031,6492417,0.6571012595305561,0.8017716650768558,50.243211987679096,8.944156554624914,30.46611855076331
2009-06-19,57.63742123354416,57.821758339406536,57.198270150151934,57.40971374511719,14182714,0.5563462942540056,0.7526865909122857,35.61467505001522,-26.486625856017394,31.054062117628035
2009-06-22,57.02477417618428,57.40428661835951,56.50971632229537,56.66694259643555,7630988,0.41181469086041744,0.6845122109019122,36.33117007475655,-92.3241836854781,31.563613208910798
2009-06-23,56.79163834910336,56.85669823986178,56.27116354968963,56.62356948852539,5389620,0.2904246717203449,0.6056947030655988,37.48470800887966,-121.26575115083372,32.00522415468919
2009-06-24,57.13865357238328,57.72961420250867,56.23324024083715,56.46637344360352,6689379,0.17946899306446795,0.5204495610653727,36.89923778644326,-107.97201342954892,30.744316570063738
2009-06-25,56.22238765839146,57.8976728729575,56.11937432507465,57.50189208984375,7218028,0.17309815116162497,0.45097927908462315,43.66929590394626,-80.23868167935535,30.54384607034849
2009-06-26,57.74047161609804,57.74047161609804,56.95433100754377,57.295894622802734,5363783,0.14970127593349503,0.39072367845439754,40.42349307704447,-64.84585141311588,28.280771224927403
2009-06-29,57.46393473357455,57.5669437254229,57.01393669904077,57.37718963623047,4897163,0.13614946563293984,0.339808835890106,37.0944943049955,-59.43135588399435,26.625524228163382
2009-06-30,57.3013070091792,57.48563986413617,56.28203770024327,56.61275863647461,7858180,0.06300013888550637,0.2844470964891861,30.639736241552995,-101.79130920787328,25.190976830967898
2009-07-01,56.92718010790612,57.61572810277957,56.78079643361381,56.84043502807617,5792016,0.023133681773707337,0.23218441354609037,26.049635105551033,-69.07241918431292,26.509107576660984
2009-07-02,56.27660603432936,56.33624465053245,55.15432357788087,55.15432357788086,7349928,-0.14286897075709248,0.1571737366854538,21.67758490361787,-179.82303524666665,27.651487556261657
2009-07-06,55.06758337644412,55.425410778912486,54.47120581454871,55.110958099365234,6822535,-0.2747592470003326,0.07078713994829652,22.689071843470117,-190.4456234481855,28.641550205248908
2009-07-07,54.94287378945005,55.2790159262156,54.23264042681505,54.31938552856445,6993138,-0.43810631526616817,-0.03099155109459642,20.512113175417056,-186.1875615914378,29.499604501037858
2009-07-08,54.37358604809096,54.85069045035623,53.9452776434021,54.58502960205078,7720317,-0.5399011427716545,-0.13277346943000803,24.224293680254675,-169.67447954438074,30.24325155738828
2009-07-09,54.82359176937652,55.72358340765435,54.67720808246644,55.34406661987305,6436247,-0.552952243893877,-0.21680922432278182,33.640836308425946,-106.10322941570865,29.633687672720818
2009-07-10,54.74228868352551,55.148907786143006,54.10795336479968,54.6663818359375,7809331,-0.6109363401423948,-0.2956346474867044,31.666323352756038,-126.33337387710613,29.105398972675683
2009-07-13,54.91035047951538,56.19528052189651,54.31938996106744,56.179012298583984,9931038,-0.5287375599534201,-0.34225522998004754,47.04339625258311,-61.49874398591578,32.78857983532793
2009-07-14,56.07058336479564,56.179013671817145,55.58263616656076,55.97841262817383,5662521,-0.47431355989559165,-0.3686668959631564,46.1637812536009,-33.51890362197056,28.541184797694044
2009-07-15,56.791658597550345,58.13080596923829,56.71033478677061,58.13080596923828,9099259,-0.25456749777226406,-0.34584701632497794,57.99903568868508,81.77903595767316,29.941863540173195
2009-07-16,57.924766876592926,60.163901144856354,57.8976560630705,59.9849853515625,15687803,0.06841102011971145,-0.2629954090360401,61.06289654928616,179.6698740298339,33.7770164905718
2009-07-17,61.48681418282195,62.63620341982517,61.35127301962184,62.57656478881836,21117589,0.527412936310526,-0.10491373996672686,69.40252986285456,292.53984889351415,29.641925263330837
2009-07-20,62.09402926107395,63.36811253878104,62.01812674050053,63.12956237792969,11173895,0.9251331861747687,0.10109564526157225,70.42760125950903,255.87648689932735,26.50659127395
2009-07-21,62.820518338217646,63.454849243164055,62.55485738811456,63.45484924316406,8683578,1.2521433519711564,0.33130518660348907,75.0795826326827,206.78307871037774,23.120677194138423
2009-07-22,62.98859978169983,63.54160694927771,62.39763919060032,62.65787887573242,9218816,1.4305024741877759,0.5511446441203465,70.46946642756666,156.07303382785867,20.05898340276911
2009-07-23,62.38135046333186,63.975311410364704,62.38135046333186,63.46567916870117,8850624,1.618380414119251,0.7645917981201275,81.17130532019242,136.3840646735301,18.304963120678433
2009-07-24,63.259683937574415,64.05666258855176,63.23257311235523,63.78015899658203,6549006,1.7722218585789165,0.9661178102118853,81.8653711383948,122.32577426877657,16.835348899048828
2009-07-27,63.40605691653631,63.93195318595739,63.20003458247056,63.77472686767578,5302383,1.8721233120909204,1.1473189105876924,86.88675749481,103.97157103596165,15.56168324030317
2009-07-28,63.23255492426238,63.71508074648843,63.07532862450742,63.5849609375,6048913,1.9139209201322842,1.3006393124966107,85.31923085905291,88.26951910900134,14.457839669390268
2009-07-29,63.08617243807668,63.58496216438692,62.91810353877217,63.57411956787109,5335541,1.9239924306201388,1.4253099361213164,84.3129284028654,77.35286215657693,13.501175241265752
2009-07-30,63.9753241972427,64.71808968194489,63.79640836750107,63.89942169189453,7116043,1.9359074025128322,1.5274294293996196,89.65994237444545,82.35341422354558,14.140946797229722
2009-07-31,63.73678450263783,64.51207790493783,63.73678450263783,63.93738555908203,5574762,1.926209328272627,1.607185409174221,88.1599670375319,73.68648951737558,14.695415479065161
2009-08-03,64.45244657581162,65.03798158662872,64.34943322292729,65.01629638671875,6389177,1.9827269791121793,1.6822937231618127,90.91797741903277,80.39483151772971,12.865153880673569
2009-08-04,64.60966315529234,64.95122663548771,64.5283393412754,64.8427963256836,5223201,1.9905715499254129,1.743949288514533,87.02141698697739,75.26079099050992,11.653960922650807
2009-08-05,64.25727007548936,64.51750979431213,63.89944262543617,64.23016357421875,5256987,1.925162016400968,1.78019183409182,77.13106704751237,61.090053729371675,10.60426035903108
2009-08-06,64.44254098625267,64.49156022081678,63.56558483688936,63.93597412109375,6279243,1.8285079580752495,1.7898550588885058,62.29995713182203,53.77105058805112,9.694519870560653
2009-08-07,64.33362373981194,65.31406963848806,64.33362373981194,64.9981460571289,6028307,1.8166758108875314,1.795219209288311,65.48058787538616,78.02892393896069,11.348519341779559
2009-08-10,64.366330880019,64.92191741762552,64.25739481496387,64.65502166748047,4164440,1.7593310056729266,1.7880415685652342,59.913724649919935,72.44874028339513,12.781985550169276
2009-08-11,64.29007428963195,64.54608121462898,63.90334495601897,64.15934753417969,5067347,1.6548124267865134,1.7613957402094902,63.05218805979847,54.82324417905538,14.0243229307737
2009-08-12,64.05582741936855,65.34129932179091,63.95778022625385,64.97635650634766,6579026,1.619240894934066,1.7329647711544056,63.11124736874513,90.76221400674703,17.908289730057195
2009-08-13,64.9709397405622,65.24328641801732,64.6168899292378,65.13434600830078,5741703,1.5855217246079363,1.703476161845112,62.0812312651614,111.51122505075426,17.354071859805522
2009-08-14,64.97637383459049,65.22148753591122,64.06673767162994,64.58419799804688,5017034,1.49714849661585,1.6622106287992597,56.58189731647126,68.82408773248544,16.873749705587407
2009-08-17,63.56018232694053,63.96870231256703,63.29872884064583,63.65277862548828,5595682,1.3365474307585004,1.597077989191108,50.492083157569574,-51.12312152343879,16.457470505265043
2009-08-18,63.625528112329,64.27371071667646,63.581951094379335,64.07217407226562,4483365,1.2289451221430028,1.523451415781487,53.411598211028824,-16.227736184372173,17.561834604566545
2009-08-19,63.38042452413436,64.69313403998412,63.24969779634135,64.58419799804688,5060443,1.171481459932295,1.4530574246116488,54.573619710056306,1.807190190429362,20.20635975934806
2009-08-20,64.51340217722516,65.04175144202041,64.32820521448943,64.79119110107422,5064418,1.12962212641974,1.388370364973267,55.576650919890774,75.41441055653989,18.623813322440203
2009-08-21,65.17247382253608,65.36856394400132,64.57331028697608,65.30864715576172,8688913,1.125231711347432,1.3357426342481,52.06062880933201,115.17859663102703,16.534862813228127
2009-08-24,65.3195614204479,65.84246857988329,64.8729151774614,64.99274444580078,6656116,1.0837685578739809,1.2853478189732763,51.036107180738334,122.38061695446929,16.646146296721895
2009-08-25,64.95461503412471,65.44483829776883,64.66048194530569,64.72584533691406,4866201,1.0176414453796099,1.2318065442545432,53.596903241808,73.74095152195949,16.742591982416492
2009-08-26,64.62234290827787,65.28142332391118,64.00683953020959,65.0744400024414,4723213,0.9820435220670518,1.181853939817045,58.1965331127392,44.426199547927595,16.82617824335181
2009-08-27,64.67133732820325,65.1397739698555,64.19200751878799,65.05261993408203,4557317,0.9412213998069845,1.133727431815033,50.461295141024515,41.76167631723929,15.617736805118412
2009-08-28,65.41757782711134,65.4883877759789,64.1484409854317,64.3935546875,6522542,0.8459370803624111,1.0761693615245087,47.898307288312914,16.215138968431614,16.42700005675701
2009-08-31,63.78352342739396,64.30643054803184,63.68548051569292,64.30097961425781,5689612,0.7542589087969276,1.0117872709789926,51.2173370195309,-85.28117369565773,17.12836154151046
2009-09-01,64.09397259990618,64.7802857688658,63.45668304211098,63.560176849365234,6593775,0.614740361125456,0.9323778890082853,37.66627175843576,-99.96136038519943,19.976702376648298
2009-09-02,63.369556545390886,63.85977979607129,63.18435954959176,63.23338317871094,5417025,0.4723563587537214,0.8403735829573726,33.91710268634597,-160.26240426572372,22.445264433767758
