Date,Open,High,Low,Close,Volume,MACD,Signal,RSI,CCI,ADX
2009-01-30,9.159062561438835,9.19863524374318,8.891947521974117,8.953285217285156,10670000,-0.3445107669777645,-0.3370948806607366,33.63362244120712,-67.83345670838445,39.146457351722105
2009-02-02,8.818741079654345,8.96318076992421,8.670344044540412,8.791040420532227,10016400,-0.3539964690705677,-0.34047519834270285,29.126969589168368,-90.56611248781769,40.75739388985008
2009-02-03,8.840505793675252,9.19863756444173,8.727724111265486,9.161043167114258,11098400,-0.32787825053763875,-0.33795580878169,39.24732210272227,-55.686013279647774,44.39524374929499
2009-02-04,9.184788046572065,9.186767096656371,8.955267297911979,9.05815601348877,15054800,-0.3118862767564643,-0.33274190237664486,46.53385836025225,-45.383369479931176,41.32691158870453
2009-02-05,9.058152625104269,9.384626326537065,8.96911502906457,9.339118003845217,14454000,-0.2733897706971202,-0.32087147604073996,50.878427943715444,-5.959234439542851,40.951620622259306
2009-02-06,9.36286271317156,9.719015414969968,9.259974020690017,9.631956100463867,13866800,-0.21675283350501218,-0.3000477475335944,56.27495401334696,80.46553096925373,43.071026128397364
2009-02-09,9.643829472799345,9.643829472799345,9.327248662416034,9.451902389526367,11381200,-0.1842723059961795,-0.27689265922611145,63.71886431506503,78.10308065585275,43.553947000835
2009-02-10,9.352965838021708,9.45189714484895,8.856330255068812,8.913710594177246,18016400,-0.19965730879065902,-0.26144558913902094,47.8862870780315,-31.715651722748724,43.972478423614284
2009-02-11,8.979011779919407,8.98099007530753,8.58130723090922,8.767298698425293,23980000,-0.22111537037007167,-0.2533795453852311,45.64069863429303,-131.31417417771308,44.335205656689666
2009-02-12,8.644621709016038,8.826655798512952,8.49622467341168,8.796976089477539,14872800,-0.23303998149085636,-0.24931163260635616,45.997311742939374,-145.65117505790812,44.64956925868833
2009-02-13,8.751468788110174,8.909758827135875,8.549648705307488,8.593178749084473,12082400,-0.25598423694173356,-0.25064615347343167,43.11193833855342,-138.0450396197181,45.80444586653067
2009-02-17,8.452696176586842,8.452696176586842,8.18558103475608,8.298362731933594,22278000,-0.2945613930142361,-0.25942920138159253,39.852180830090155,-231.05978871492513,46.805338926660696
2009-02-18,8.373552193211696,8.694089662656511,8.300343181162752,8.610987663269043,23450400,-0.29649009463956055,-0.26684138003318614,38.0562239657483,-136.06047165632887,49.69213126718277
2009-02-19,8.694090107906469,8.781150212431815,8.377509968141373,8.470505714416504,13044400,-0.30582891838963633,-0.2746388877044762,40.17305723930598,-117.11443804834965,52.69424030943506
2009-02-20,8.373548224727204,8.57932558490506,8.294402853955352,8.494244575500488,12084000,-0.30776673248468356,-0.2812644566605177,42.54496433241096,-119.12187100333601,55.29606814605371
2009-02-23,8.5971379179082,8.68617631961645,8.193497666688534,8.233070373535156,12916800,-0.3266120589839083,-0.2903339771251958,41.220420310106554,-119.29416299250263,58.1539539980739
2009-02-24,8.239002109330814,8.531838793505335,8.011460473715262,8.496223449707031,13858000,-0.3166625729968402,-0.2955996962995247,39.17516776522559,-109.39092130895459,60.63078840315807
2009-02-25,8.436867601104275,8.539756322433169,8.223176222026188,8.33991527557373,15884800,-0.3177277295133667,-0.3000253029422931,38.50531381029013,-93.85104646639584,55.70037974608351
2009-02-26,8.409168515442133,8.415104157568368,8.112374332544176,8.11830997467041,12648800,-0.3326193407648912,-0.30654411050681274,30.083870815171764,-113.94010495580015,51.427358909952225
2009-02-27,7.960013348816722,8.345845620251493,7.930334407805444,8.21723461151123,18738400,-0.3326045997380156,-0.3117562083530533,25.361519442974554,-112.31707875719616,47.72407418530511
2009-03-02,8.078734390050883,8.169751050752932,7.841298999482941,7.867020606994629,17423200,-0.356739984197052,-0.320752963521853,23.942461925869708,-135.55154957389647,44.514560757277614
2009-03-03,7.987713444095321,8.161832754191476,7.918461831731719,7.9243974685668945,17107600,-0.36700698894184747,-0.33000376860585195,30.679777134951962,-112.56935405490756,39.05395562999948
2009-03-04,8.060927750473958,8.571413188603325,8.060927750473958,8.419058799743652,16695200,-0.331408359529032,-0.330284686790488,44.013522020827324,-46.756427332680346,40.735319354500454
2009-03-05,8.2339592185003,8.347407474795103,7.849827136924087,7.949343204498291,23676800,-0.3372111519513403,-0.3316699798226585,37.34344444227681,-94.78316413043277,42.192501249067966
2009-03-06,8.01104343972334,8.142404618551394,7.762253270787832,7.949343204498291,23967200,-0.3379146371602566,-0.33291891129017814,39.7634733476136,-106.96792423710819,43.45539222435981
2009-03-09,7.831912964801405,7.977207068415584,7.610987967803243,7.676668167114258,20695200,-0.3563667765635721,-0.3376084843448569,40.04541373223306,-143.78194426981906,44.54989773627941
2009-03-10,7.756283042158491,8.359350206989266,7.756283042158491,8.28172779083252,22955600,-0.31849555652239303,-0.33378589878036413,45.17933638277789,-54.74922391485068,48.411677389393574
2009-03-11,8.35536897228421,8.745471776350032,8.30959167214614,8.643965721130371,19248000,-0.2562983206655449,-0.3182883831574003,52.38475964912097,74.66395030426366,42.109112613212
2009-03-12,8.643968191549273,8.924603552946383,8.440955263842152,8.874845504760742,18112400,-0.18622975347196657,-0.2918766572203136,54.950603007757195,128.7903718652332,38.20959076117838
2009-03-13,8.908679068409635,8.920621271232648,8.612121577822043,8.890766143798828,19899600,-0.1279404290127406,-0.259089411578799,59.13788205464147,142.54007727907623,33.39306821971262
2009-03-16,8.956445079175168,8.972368012643495,8.679790563764652,8.739500045776367,16622800,-0.09288095551499254,-0.22584772036603773,53.48849167255161,134.84756599175861,29.96257373294068
2009-03-17,8.7275611193536,9.085819664299972,8.665861627138701,9.03805160522461,21866400,-0.04053815580419062,-0.18878580745366833,59.618618401603,148.23010009629857,26.3707878027961
2009-03-18,9.145530274750572,9.2609685626683,8.94450731585851,9.139558792114258,23451600,0.00903057290406295,-0.14922253138212208,64.55189005509801,167.9867628216566,25.46757708153823
2009-03-19,8.713626735515126,9.354510461130449,8.608139945614722,9.25499439239502,32281600,0.056972096867069055,-0.10798360573228385,64.71790402179641,137.23044368559002,23.43487913421349
2009-03-20,9.348534150041896,9.525672524992109,8.819109011307226,8.960421562194824,24951200,0.07038517794043919,-0.07230984899773925,65.75569231851698,121.95875395253802,23.70122474161941
2009-03-23,9.149509316363444,9.4958248752554,8.930573468586436,9.477911949157717,14384800,0.12137317628339162,-0.03357324394151308,69.76494803532066,133.8154608987261,24.862804485526084
2009-03-24,9.302764989575818,9.396309603541829,9.030090339835752,9.075867652893066,12832000,0.12786595845936866,-0.0012854034613367302,58.5580899457224,98.50620749975185,26.662133092905993
2009-03-25,9.179362218787112,9.404268752873673,8.986301556444902,9.229120254516602,13444000,0.14372101290385508,0.027715879811701635,68.17403768684866,93.3167214596772,28.07302051295795
2009-03-26,9.290822074332626,9.611264000479844,9.26295769105852,9.473931312561035,14117600,0.17403430505730988,0.056979564860823284,70.24306547021716,114.77887307118348,31.338266955994992
2009-03-27,9.438100561342154,9.4838786063866,9.2709143484721,9.322662353515623,7961600,0.18373369898522718,0.08233039168570407,72.58314134054055,93.52100635728658,34.21896994384158
2009-03-30,9.155480625897342,9.24305451507681,8.96042917323793,9.207228660583496,13288800,0.18003072215370786,0.10187045777930483,64.66873080739099,58.02604410330518,36.71557919997529
2009-03-31,9.302759589082507,9.481888002372758,9.115668951266343,9.332613945007324,17907600,0.1850801422294488,0.11851239466933362,61.80073187089889,78.87511202865012,33.9226727624944
2009-04-01,9.191304955045084,9.394317843733624,9.083827409401604,9.354511260986328,13006800,0.188673859606439,0.1325446876567547,58.853719623351736,67.82777882435256,31.502153850010963
2009-04-02,9.475919613274872,10.218309350024816,9.475919613274872,10.049132347106934,23882000,0.24475068938314415,0.1549858880020326,67.09746456383013,161.8272091182676,33.34194128974124
2009-04-03,10.00335719676656,10.32777986807576,9.991415751689152,10.32379913330078,14375600,0.3078070866608904,0.1855501277338042,72.562329450662,204.25288643022066,29.59371344896094
2009-04-06,10.20636525384477,10.250152556267528,10.043159002038148,10.204375267028809,11080000,0.3441757836669339,0.21727525892043015,67.50284873414877,186.09027974034728,25.91098243484196
2009-04-07,10.025247384863045,10.027238131184545,9.854079645082727,9.923741340637209,11580000,0.3463607939319733,0.2430923659227388,61.16770813951438,127.94091713100866,22.71928222260551
2009-04-08,9.943646774545984,10.07500797298844,9.842140704532593,9.99937629699707,13103200,0.3501591227787948,0.26450571729395,60.72245051928004,116.45991464205838,20.43214863116414
2009-04-09,10.200396789023182,10.64821908707786,10.06704562470784,10.602441787719728,18044400,0.39725239252806865,0.2910550523407738,71.72197215956992,165.33170387987025,22.68835605961285
2009-04-13,10.494963653825817,10.642247757499254,10.268067157265811,10.572586059570312,13202000,0.42724008262138646,0.31829205839689634,66.62630250467348,144.33639163601137,22.44825726730828
2009-04-14,10.469088273865855,10.469088273865855,9.987430950895648,10.230250358581545,16975600,0.41855704791338333,0.33834505630019374,67.85706066566003,91.70786935903371,22.240171647310984
2009-04-15,10.230255991631491,10.38948160924395,10.160594261943292,10.37156867980957,11099600,0.41825747599894036,0.3543275402399431,67.73794237357205,91.14158029640032,20.111630495739657
2009-04-16,10.389472690676197,10.76564312663696,10.33573394850366,10.701952934265137,11566000,0.4396117407974849,0.3713843803514515,68.57303908191346,117.06742856085908,21.172514380818782
2009-04-17,10.75370638660182,10.946767807252522,10.592490837540597,10.869145393371582,13864000,0.46466975991825166,0.39004145626481157,73.27744428919188,129.49518663167223,19.448958219381574
2009-04-20,10.723852743505374,10.723852743505374,10.353652813052069,10.421323776245115,9961200,0.44328306743676293,0.4006897784992019,66.61215712423453,82.96832976311983,17.955209546135993
2009-04-21,10.411371122769092,10.678074210647102,10.355641609389655,10.602441787719728,10292400,0.43592361336021845,0.40773654547140525,67.11372338333527,82.40092516587059,16.637626908167256
2009-04-22,10.53079151740537,11.143810932442284,10.399430322647095,10.946768760681152,14134400,0.45265754760075616,0.4167207458972755,69.74330205897108,111.66620960548086,19.185016814718452
2009-04-23,10.946766193632044,11.032350062794766,10.600449983619256,10.825356483459473,12211600,0.4509243794057074,0.4235614725989619,61.219737187446945,102.81352337689324,19.03333936530486
2009-04-24,10.893027305603027,10.994534107034426,10.753704676543656,10.893027305603027,8396000,0.44982598695202825,0.4288143754695752,58.7514475072086,104.5783700727947,17.282620333545292
2009-04-27,10.74972951746934,11.002500519733536,10.662155616855204,10.773613929748535,9206400,0.434313347645773,0.4299141699048148,58.751637019003795,88.27778067793939,15.842272388803242
2009-04-28,10.63229645215215,11.20550922243107,10.628316477528086,11.064196586608888,9880400,0.44039051343576396,0.4320094386110046,67.48020957763475,107.02800907680822,16.498951762429837
2009-04-29,11.066183643369046,11.096038759874745,10.449184482393257,10.540739059448242,21858000,0.39837583474062477,0.4252827178369286,57.29608217635732,54.84991050330121,17.068073886239546
2009-04-30,10.65618453918377,10.950752114273294,10.385500616331878,10.443220138549805,19326400,0.35313916874267015,0.410854008018077,47.51558451530414,26.394055789317612,17.561313060207965
2009-05-01,10.522828239200102,10.622344301728846,10.449186565518078,10.532779693603516,13902000,0.3208173103868166,0.3928466684918249,49.39024212091729,4.976063896683817,16.884565475835085
2009-05-04,10.530790432079495,11.000506401062012,10.522828964309232,11.000506401062012,14549600,0.3291494115817777,0.38010721710981554,61.36237279666143,82.78516890047848,20.0279558988103
2009-05-05,10.83132974385702,10.982594610092267,10.817397553446856,10.946768760681152,13247600,0.3276396573128988,0.36961370515043224,58.710077673419256,94.998233089492,18.572501480359286
2009-05-06,11.036332422979516,11.1020126350144,10.795503713439327,10.869145393371582,14808400,0.31653083868651066,0.3589971318576479,52.741613334842945,89.66236670535007,18.45664079104597
2009-05-07,11.010457282494704,11.080118223736704,10.43525455289062,10.56462574005127,18546400,0.27992799318801787,0.3431833041237219,45.22170571961132,8.234818037003306,18.356228193641094
2009-05-08,10.699969097881873,10.9189049398728,10.349672813642847,10.83133029937744,11371600,0.2693360649153522,0.328413856282048,56.821227399844055,6.307905985512265,18.269203942556867
